Java HotSpot(TM) 64-Bit Server VM (25.371-b11) for windows-amd64 JRE (1.8.0_371-b11), built on Mar 17 2023 04:03:45 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 24794848k(13024916k free), swap 26367712k(9818600k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/heapdump3.hprof -XX:InitialHeapSize=83886080 -XX:+ManagementServer -XX:MaxHeapSize=83886080 -XX:MetaspaceSize=67108864 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:ThreadStackSize=512 -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2023-05-07T18:52:03.579+0800: 4.736: [GC (Allocation Failure) [PSYoungGen: 22016K->2544K(24576K)] 22016K->4696K(79360K), 0.0031930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:03.718+0800: 4.876: [GC (Allocation Failure) [PSYoungGen: 24559K->2531K(24576K)] 26711K->7992K(79360K), 0.0044283 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2023-05-07T18:52:03.881+0800: 5.039: [GC (Allocation Failure) [PSYoungGen: 24547K->2544K(24576K)] 30008K->11259K(79360K), 0.0032530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.042+0800: 5.199: [GC (Allocation Failure) [PSYoungGen: 24514K->2548K(24576K)] 33230K->14247K(79360K), 0.0032721 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.161+0800: 5.318: [GC (Allocation Failure) [PSYoungGen: 24564K->2548K(24576K)] 36263K->16480K(79360K), 0.0034292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.337+0800: 5.495: [GC (Allocation Failure) [PSYoungGen: 24564K->2554K(24576K)] 38496K->19230K(79360K), 0.0037422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.510+0800: 5.666: [GC (Allocation Failure) [PSYoungGen: 24570K->2560K(24576K)] 41246K->22145K(79360K), 0.0040986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.687+0800: 5.844: [GC (Allocation Failure) [PSYoungGen: 24576K->2528K(24576K)] 44161K->25051K(79360K), 0.0032417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:04.903+0800: 6.061: [GC (Allocation Failure) [PSYoungGen: 24544K->2528K(24576K)] 47067K->27165K(79360K), 0.0055565 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2023-05-07T18:52:05.116+0800: 6.274: [GC (Allocation Failure) [PSYoungGen: 24544K->2551K(24576K)] 49181K->30552K(79360K), 0.0039257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:24.242+0800: 25.399: [GC (Allocation Failure) [PSYoungGen: 24567K->2544K(24576K)] 52568K->35349K(79360K), 0.0045998 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:24.251+0800: 25.409: [GC (Allocation Failure) [PSYoungGen: 22692K->2558K(24576K)] 55496K->51687K(79360K), 0.0111267 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2023-05-07T18:52:24.262+0800: 25.420: [Full GC (Ergonomics) [PSYoungGen: 2558K->0K(24576K)] [ParOldGen: 49129K->33243K(54784K)] 51687K->33243K(79360K), [Metaspace: 35815K->35814K(1083392K)], 0.1798250 secs] [Times: user=1.02 sys=0.00, real=0.18 secs] 
2023-05-07T18:52:24.447+0800: 25.604: [GC (Allocation Failure) [PSYoungGen: 22016K->2560K(24576K)] 55259K->52087K(79360K), 0.0123691 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-05-07T18:52:24.460+0800: 25.617: [Full GC (Ergonomics) [PSYoungGen: 2560K->0K(24576K)] [ParOldGen: 49527K->47993K(54784K)] 52087K->47993K(79360K), [Metaspace: 35814K->35814K(1083392K)], 0.3166004 secs] [Times: user=1.92 sys=0.00, real=0.32 secs] 
2023-05-07T18:52:24.782+0800: 25.939: [Full GC (Ergonomics) [PSYoungGen: 22016K->14846K(24576K)] [ParOldGen: 47993K->50283K(54784K)] 70009K->65130K(79360K), [Metaspace: 35814K->35814K(1083392K)], 0.2550515 secs] [Times: user=1.23 sys=0.00, real=0.25 secs] 
2023-05-07T18:52:25.038+0800: 26.196: [Full GC (Ergonomics) [PSYoungGen: 22016K->22015K(24576K)] [ParOldGen: 50283K->48364K(54784K)] 72299K->70379K(79360K), [Metaspace: 35814K->35610K(1083392K)], 0.4518839 secs] [Times: user=3.41 sys=0.00, real=0.45 secs] 
2023-05-07T18:52:25.491+0800: 26.648: [Full GC (Ergonomics) [PSYoungGen: 22016K->22015K(24576K)] [ParOldGen: 48364K->48364K(54784K)] 70380K->70379K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4461211 secs] [Times: user=3.33 sys=0.00, real=0.45 secs] 
2023-05-07T18:52:25.940+0800: 27.097: [Full GC (Ergonomics) [PSYoungGen: 22016K->22015K(24576K)] [ParOldGen: 48364K->48364K(54784K)] 70380K->70380K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4089491 secs] [Times: user=3.50 sys=0.00, real=0.41 secs] 
2023-05-07T18:52:26.349+0800: 27.506: [Full GC (Ergonomics) [PSYoungGen: 22016K->22015K(24576K)] [ParOldGen: 48364K->48364K(54784K)] 70380K->70380K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4294821 secs] [Times: user=3.17 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:26.779+0800: 27.936: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48364K->48364K(54784K)] 70380K->70380K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4385129 secs] [Times: user=3.36 sys=0.00, real=0.44 secs] 
2023-05-07T18:52:27.217+0800: 28.375: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48364K->48364K(54784K)] 70380K->70380K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4270785 secs] [Times: user=3.33 sys=0.02, real=0.43 secs] 
2023-05-07T18:52:27.644+0800: 28.802: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48366K->48366K(54784K)] 70382K->70382K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4784121 secs] [Times: user=3.84 sys=0.00, real=0.48 secs] 
